0,Công Ty TNHH Cây Đào Đỏ
1,Nguyễn Thị Hồng Quyên
2,CN HÀ NỘI – Công ty TNHH Gongcha Việt Nam
3,BUBBLE BEAR
4,CÔNG TY TNHH PIZZA HUT VIỆT NAM
5,CôNG TY TNHH DịCH Vụ THựC PHẩM Và GIảI KHáT VIệT NAM
6,L A G A R E
7,The King Coffee
8,CAFE BABA
9,HƯNG LONG
10,ALIFOODCORNER
11,BILUXURY 
12,HỘ KINH DOANH THE ALLEY
13,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ TRÚC ANH	
14,Bánh Cuốn Tây Sơn
15,VUA TÀO PHỚ
16,CÔNG TY LIÊN DOANH TNHH KFC VIỆT NAM
17,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CUỘC SỐNG CỦA TÔI
18,CƠM NIÊU SINGAPORE
19,ROYAL RICE & BUNBAR
20,Trung Nguyên Legend
21,GÀ ÁC VĨNH QUÝ
22,Gà Ác Vĩnh Quý 
23,HÀ NGỌC THU HIỀN
24,HỘ KINH DOANH NEM NƯỚNG OANH VY
25,Tổng Hợp Việt 
26,ATM STREET COFFEE
27,CÔNG TY TNHH MỘT THÀNH VIÊN LAVIDA COFFEE AND TEA
28,CÔNG TY CỔ PHẦN THƯƠNG MẠI HI-FOODS
29,Công ty cổ phần thương mại Nhật Thái
30,Công ty CP Thương mại Dịch vụ Mania
31,CÔNG TY TNHH VIETART FOOD & BEVERAGE
32,CÔNG TY CP ĐT TM QT MẶT TRỜI ĐỎ (TP HÀ NỘI)
33,CÔNG TY TNHH KẾT NỐI KHÔNG GIAN
34,Pizza Chảo Đồng Phát Park View Tower
35,CỦA HÀNG ĂN UỐNG SỐ 12
36,HỘ KINH DOANH CANG TRẦN
37,HỘ KINH DOANH MÌ QUẢNG 3 ANH EM
38,CÔNG TY TNHH DỊCH VỤ TIÊN TÂM
39,THE ALLEY
40,CÔNG TY TNHH GONGCHA VIỆT NAM
41,Nhà hàng Hoa Sen ( lotus cafe)
42,LiBB House Coffee & Tea
43,CHI NHÁNH QUẬN 10 - CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU PHÚ QUỐC
